Composition:
    Symbol     Freq     Count
       A      0.055     78509 / 1437640
       C      0.028     39787 / 1437640
       D      0.039     56016 / 1437640
       E      0.064     92024 / 1437640
       F      0.036     52030 / 1437640
       G      0.073    105573 / 1437640
       H      0.027     38675 / 1437640
       I      0.061     88085 / 1437640
       K      0.065     93568 / 1437640
       L      0.084    121213 / 1437640
       M      0.015     22228 / 1437640
       N      0.080    114890 / 1437640
       P      0.033     47531 / 1437640
       Q      0.030     43031 / 1437640
       R      0.034     48266 / 1437640
       S      0.083    119209 / 1437640
       T      0.065     92971 / 1437640
       V      0.061     87948 / 1437640
       W      0.019     26699 / 1437640
       Y      0.046     66025 / 1437640
       X      0.002      3362 / 1437640

